id,username,created_at,score,reasons,like_raid_hits,largest_like_raid,created_bucket_user_count,created_bucket_sequential_count
"50730e96-df3c-4cb7-b64b-5e11456edc01","twitninfuser0001","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"9f7e80b0-e334-465c-a6a3-d390c54c4f9b","twitninfuser0002","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"657b84a3-f687-4621-90c0-a015741a83df","twitninfuser0003","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"a853abf5-f8ef-445f-b941-bdaf20d06c0f","twitninfuser0004","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"c8542755-0642-49d9-a6ab-a51ec63d7b01","twitninfuser0005","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"680ffead-eca9-4c87-865b-b1a6195d5410","twitninfuser0006","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"d32db224-5873-4c09-8455-e6ebdb1c690a","twitninfuser0007","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"4d7f9de7-a91e-42c3-a096-d2e873cdf9d4","twitninfuser0008","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"18e5cd7d-8f5d-4443-b866-84c3d8b64ed2","twitninfuser0009","2026-07-22T03:02:04.208Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"909c8dbc-1e87-4285-93e9-3e1597332a96","twitninfuser0010","2026-07-22T03:02:04.209Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"01c94c5d-05ef-4055-809b-ba65de6025f6","twitninfuser0011","2026-07-22T03:02:04.209Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"de74d2fe-1b7a-4cc0-8270-f7681ae77ea4","twitninfuser0012","2026-07-22T03:02:04.209Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"5c93fd0b-5b53-4d92-bdb1-65b3d078ce33","twitninfuser0013","2026-07-22T03:02:04.209Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
"b41fac19-c89e-43cf-bbc0-bfce0a6e9a4e","twitninfuser0014","2026-07-22T03:02:04.209Z","100","like_raid_coordonne|account_farm_creation_massive","7","3370","3370","3369"
